,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
38,BMW,330e,xDrive,"$2,500",2023,PHEV,2022-08-05
39,BMW,i4,eDrive35,"$5,000",2023,BEV,2022-08-08
40,BMW,i4,eDrive40,"$5,000",2023,BEV,2022-08-08
41,BMW,330e,RWD,"$2,500",2022,PHEV,2021-07-02
42,BMW,330e,xDrive,"$2,500",2022,PHEV,2021-07-02
43,BMW,330e,RWD,"$2,500",2021,PHEV,2020-04-21
44,BMW,330e,xDrive,"$2,500",2021,PHEV,2020-04-21
45,BMW,i3,Base,"$5,000",2021,BEV,2020-12-21
46,BMW,i3,s,"$5,000",2021,BEV,2020-12-21
47,BMW,i3,Range Extender,"$5,000",2021,PHEV,2020-12-21
48,BMW,i3,s Range Extender,"$5,000",2021,PHEV,2020-12-21
49,BMW,i3,Base,"$5,000",2020,BEV,2020-01-16
50,BMW,i3,s,"$5,000",2020,BEV,2020-01-16
51,BMW,i3,Base,$5000,2020,BEV,2020-01-16
52,BMW,i3,s,$5000,2020,BEV,2020-01-16
57,Chevrolet,Bolt EUV,LT,"$5,000",2023,BEV,2022-07-15
58,Chevrolet,Bolt EUV,Premier,"$5,000",2023,BEV,2022-07-15
59,Chevrolet,Bolt EUV,LT,"$5,000",2022,BEV,2021-03-18
60,Chevrolet,Bolt EUV,Premier,"$5,000",2022,BEV,2021-03-18
61,Chevrolet,Bolt,LT (2LT),"$5,000",2021,BEV,2020-11-10
62,Chevrolet,Bolt,Premier (2LZ),"$5,000",2021,BEV,2020-11-10
63,Chevrolet,Bolt,LT (2LT),"$5,000",2020,BEV,2019-09-16
64,Chevrolet,Bolt,Premier (2LZ),"$5,000",2020,BEV,2019-09-16
69,Chrysler,Pacifica Hybrid, Touring-L,"$5,000",2022,PHEV ,2021-11-25
70,Chrysler,Pacifica Hybrid,Limited,"$5,000",2022,PHEV ,2021-11-25
71,Chrysler,Pacifica Hybrid,Pinnacle,"$5,000",2022,PHEV ,2021-11-25
72,Chrysler,Pacifica Hybrid,Touring,"$5,000",2021,PHEV,2020-11-09
73,Chrysler,Pacifica Hybrid,Touring-L Plus,"$5,000",2021,PHEV,2020-11-09
74,Chrysler,Pacifica Hybrid,Limited,"$5,000",2021,PHEV,2020-11-09
75,Chrysler,Pacifica Hybrid,Pinnacle,"$5,000",2021,PHEV,2020-11-09
76,Chrysler,Pacifica Hybrid,Touring,"$5,000",2020,PHEV,2019-09-16
77,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2020,PHEV,2019-09-16
78,Chrysler,Pacifica Hybrid,Limited,"$5,000",2020,PHEV,2019-09-16
85,Ford,*Escape PHEV,SE,$5000,2022,PHEV,2022-04-25
86,Ford,*Escape PHEV,SEL,$5000,2022,PHEV,2022-04-25
87,Ford,*Escape PHEV,Titanium,$5000,2022,PHEV,2022-04-25
88,Ford,Escape PHEV,SE,"$2,500",2022,PHEV,2021-11-25
89,Ford,Escape PHEV,SEL,"$2,500",2022,PHEV,2021-11-25
90,Ford,Escape PHEV,Titanium,"$2,500",2022,PHEV,2021-11-25
