,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility,Rebate-QC,Year-QC
42,BMW,i3,Base,"$5,000",2020.0,BEV,2020-01-16,,
43,BMW,i3,s,"$5,000",2020.0,BEV,2020-01-16,,
44,BMW,i3,Base,$5000,2020.0,BEV,2020-01-16,,
45,BMW,i3,s,$5000,2020.0,BEV,2020-01-16,,
46,Chevrolet,Bolt EUV,LT,"$5,000",2023.0,BEV,2022-07-15,,
47,Chevrolet,Bolt EUV,Premier,"$5,000",2023.0,BEV,2022-07-15,,
48,Chevrolet,Bolt EUV,LT,"$5,000",2022.0,BEV,2021-03-18,,
49,Chevrolet,Bolt EUV,Premier,"$5,000",2022.0,BEV,2021-03-18,,
50,Chevrolet,Bolt,LT (2LT),"$5,000",2021.0,BEV,2020-11-10,,
51,Chevrolet,Bolt,Premier (2LZ),"$5,000",2021.0,BEV,2020-11-10,,
52,Chevrolet,Bolt,LT (2LT),"$5,000",2020.0,BEV,2019-09-16,,
53,Chevrolet,Bolt,Premier (2LZ),"$5,000",2020.0,BEV,2019-09-16,,
54,Chrysler,Pacifica Hybrid, Touring-L,"$5,000",2022.0,PHEV ,2021-11-25,,
55,Chrysler,Pacifica Hybrid,Limited,"$5,000",2022.0,PHEV ,2021-11-25,,
56,Chrysler,Pacifica Hybrid,Pinnacle,"$5,000",2022.0,PHEV ,2021-11-25,,
57,Chrysler,Pacifica Hybrid,Touring,"$5,000",2021.0,PHEV,2020-11-09,,
58,Chrysler,Pacifica Hybrid,Touring-L Plus,"$5,000",2021.0,PHEV,2020-11-09,,
59,Chrysler,Pacifica Hybrid,Limited,"$5,000",2021.0,PHEV,2020-11-09,,
60,Chrysler,Pacifica Hybrid,Pinnacle,"$5,000",2021.0,PHEV,2020-11-09,,
61,Chrysler,Pacifica Hybrid,Touring,"$5,000",2020.0,PHEV,2019-09-16,,
62,Chrysler,Pacifica Hybrid,Touring L,"$5,000",2020.0,PHEV,2019-09-16,,
63,Chrysler,Pacifica Hybrid,Limited,"$5,000",2020.0,PHEV,2019-09-16,,
64,Ford,*Escape PHEV,SE,$5000,2022.0,PHEV,2022-04-25,,
65,Ford,*Escape PHEV,SEL,$5000,2022.0,PHEV,2022-04-25,,
66,Ford,*Escape PHEV,Titanium,$5000,2022.0,PHEV,2022-04-25,,
67,Ford,Escape PHEV,SE,"$2,500",2022.0,PHEV,2021-11-25,,
68,Ford,Escape PHEV,SEL,"$2,500",2022.0,PHEV,2021-11-25,,
69,Ford,Escape PHEV,Titanium,"$2,500",2022.0,PHEV,2021-11-25,,
70,Ford,Mach E,Select RWD Standard Range,"$5,000",2022.0,BEV,2022-04-25,,
71,Ford,Mach E,Select eAWD Standard Range,"$5,000",2022.0,BEV,2022-04-25,,
72,Ford,Mach E,Premium RWD Standard range,"$5,000",2022.0,BEV,2022-04-25,,
73,Ford,Mach E,Premium eAWD Standard range,"$5,000",2022.0,BEV,2022-04-25,,
74,Ford,*Escape PHEV,SE,$5000,2021.0,PHEV,2022-04-25,,
75,Ford,*Escape PHEV,SEL,$5000,2021.0,PHEV,2022-04-25,,
76,Ford,*Escape PHEV,Titanium,$5000,2021.0,PHEV,2022-04-25,,
77,Ford,Escape PHEV,SE,"$2,500",2021.0,PHEV,2021-02-08,,
78,Ford,Escape PHEV,SEL,"$2,500",2021.0,PHEV,2021-02-08,,
79,Ford,Escape PHEV,Titanium,"$2,500",2021.0,PHEV,2021-02-08,,
80,Ford,*Escape PHEV,SE,$5000,2020.0,PHEV,2022-04-25,,
81,Ford,*Escape PHEV,SEL,$5000,2020.0,PHEV,2022-04-25,,
82,Ford,*Escape PHEV,Titanium,$5000,2020.0,PHEV,2022-04-25,,
83,Ford,Escape PHEV,SE,"$2,500",2020.0,PHEV,2020-02-27,,
84,Ford,Escape PHEV,SEL,"$2,500",2020.0,PHEV,2020-02-27,,
85,Ford,Escape PHEV,Titanium,"$2,500",2020.0,PHEV,2020-02-27,,
86,Ford,Fusion Energi,SEL,"$2,500",2020.0,PHEV,2019-08-13,,
