,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
27,Ford,*Escape PHEV,"SE
			SEL
			Titanium",$5000,2022,PHEV,2022-04-25
28,Ford,Escape PHEV,"SE
			SEL
			Titanium","$2,500",2022,PHEV,2021-11-25
29,Ford,Mach E,"Select RWD Standard Range
			Select eAWD Standard Range
			Premium RWD Standard range
			Premium eAWD Standard range","$5,000",2022,BEV,2022-04-25
30,Ford,*Escape PHEV,"SE
			SEL
			Titanium",$5000,2021,PHEV,2022-04-25
31,Ford,Escape PHEV,"SE
			SEL
			Titanium","$2,500",2021,PHEV,2021-02-08
32,Ford,*Escape PHEV,"SE
			SEL
			Titanium",$5000,2020,PHEV,2022-04-25
33,Ford,Escape PHEV,"SE
			SEL
			Titanium","$2,500",2020,PHEV,2020-02-27
34,Ford,Fusion Energi,"SEL
			Titanium","$2,500",2020,PHEV,2019-08-13
35,Ford,Fusion Energi,"SEL
			Titanium
			Platinum","$2,500","2018/
			2019",PHEV,2019-05-01
36,Ford,Focus,Electric,"$5,000",2018,BEV,2019-05-01
37,Honda,Clarity Plug-in Hybrid,"Base
			Touring","$5,000",2021,PHEV,2020-12-09
38,Honda,Clarity Plug-in Hybrid,"Base
			Touring","$5,000",2019,PHEV,2019-05-01
39,Honda,Clarity Plug-in Hybrid,Base Touring,"$5,000",2018/2020,PHEV,2019-12-03
40,Hyundai,Kona Electric,"Preferred
Preferred - 2 tone
Ultimate","$5,000",2023,BEV,2022-07-22
41,Hyundai,*Santa Fe PHEV,"Preferred
			Luxury",$5000,2022,PHEV,2022-04-25
42,Hyundai,*Tucson PHEV,"Preferred
			Luxury",$5000,2022,PHEV,2022-04-25
43,Hyundai,IONIQ 5,"Essential
			Preferred
			Preferred Long Range
			Preferred AWD Long Range","$5,000",2022,BEV,2021-11-16
44,Hyundai,Ioniq plug-In hybrid,"Essential
			Preferred
			Ultimate","$2,500",2022,PHEV,2021-09-16
45,Hyundai,Kona Electric,"Preferred
			Preferred - 2 tone
			Ultimate","$5,000",2022,BEV,2021-07-13
46,Hyundai,Santa Fe PHEV,"Preferred
			Luxury","$2,500",2022,PHEV,2021-07-12
47,Hyundai,Tucson PHEV,"Luxury
			Ultimate","$2,500",2022,PHEV,2021-07-20
48,Hyundai,Ioniq electric,"Preferred
			Ultimate","$5,000",2021,BEV,2021-01-27
49,Hyundai,Ioniq plug-In hybrid,"Essential
			Preferred
			Ultimate","$2,500",2021,PHEV,2021-01-27
50,Hyundai,Kona Electric,"Essential Preferred
			Preferred - 2 tone Ultimate","$5,000",2021,BEV,2020-07-03
51,Hyundai,Ioniq electric,"Preferred
			Ultimate","$5,000",2020,BEV,2020-01-16
52,Hyundai,Ioniq Plug-In hybrid,"Preferred
			Ultimate","$2,500",2020,PHEV,2020-01-08
53,Hyundai,Kona Electric,"Essential
			Preferred
			Preferred - 2 tone
			Ultimate","$5,000",2020,BEV,2019-10-15
54,Hyundai,Kona Electric,Preferred Ultimate,"$5,000",2019,BEV,2019-05-01
55,Hyundai,Ioniq electric Plus,"SE
			Limited","$2,500",2018,PHEV,2019-06-17
56,Hyundai,Ioniq Electric,"SE
			SE CCP
			Limited","$5,000","2017/
			2018",BEV,2019-06-17
57,Hyundai,Sonata PHEV,Ultimate,"$2,500",2017,PHEV,2019-06-17
58,Hyundai,Ioniq Electric,"Preferred
			Ultimate","$5,000", 2019,BEV,2019-05-01
59,Hyundai,Ioniq electric Plus,"Preferred
			Ultimate","$2,500", 2019,PHEV,2019-05-01
60,Hyundai,Sonata PHEV,Ultimate,"$2,500"," 2018/
			2019",PHEV,2019-05-01
61,Jeep,Wrangler 4xe,"Unlimited Sahara
Unlimited Rubicon","$2,500",2022,PHEV,2022-04-25
62,Jeep,Wrangler 4xe,"
Unlimited Sahara
Unlimited Sahara High Altitude
Unlimited Rubicon
","$2,500",2021,PHEV,2022-04-25
63,Kia,*Sorento PHEV,"EX
			EX+
			SX",$5000,2022,PHEV,2022-04-25
64,Kia,EV6,"RWD Standard Range
			RWD Long Range
			AWD Long Range","$5,000",2022,BEV,2022-02-01
65,Kia,Niro EV,"EX
			EX+
			SX Touring","$5,000",2022,BEV,2021-08-17
66,Kia,Niro PHEV,"EX
			EX Premium
			SX Touring","$2,500",2022,PHEV,2021-08-16
67,Kia,Sorento PHEV,"EX
			EX+
			SX","$2,500",2022,PHEV,2021-09-27
68,Kia,Soul EV,"Premium
			Limited","$5,000",2022,BEV,2021-07-26
69,Kia,Niro EV,"EX
			EX+
			SX Touring","$5,000",2021,BEV,2021-03-12
70,Kia,Niro PHEV,"EX
			EX Premium
			SX Touring","$2,500",2021,PHEV,2021-03-12
71,Kia,Soul EV,"Premium 
			Limited","$5,000",2021,BEV,2020-07-03
72,Kia,Niro EV,"SX Touring
			EX","$5,000",2020,BEV,2020-02-03
73,Kia,Niro PHEV,"EX Premium
			SX Touring","$2,500",2020,PHEV,2020-01-15
74,Kia,Niro EV,"SX Touring
			EX","$5,000",2019,BEV,2019-05-01
