,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
147,Hyundai,Ioniq electric Plus,SE,"$2,500",2018,PHEV,2019-06-17
148,Hyundai,Ioniq Electric,Ultimate,"$5,000", 2019,BEV,2019-05-01
149,Hyundai,IONIQ 5,Preferred Long Range,"$5,000",2022,BEV,2021-11-16
150,Hyundai,Ioniq Electric,Preferred,"$5,000", 2019,BEV,2019-05-01
151,Hyundai,Kona Electric,Essential Preferred,"$5,000",2021,BEV,2020-07-03
152,Hyundai,Ioniq electric Plus,Limited,"$2,500",2018,PHEV,2019-06-17
153,Hyundai,IONIQ 5,Essential,"$5,000",2022,BEV,2021-11-16
154,Hyundai,Ioniq electric Plus,Preferred,"$2,500", 2019,PHEV,2019-05-01
155,Hyundai,Kona Electric,Preferred - 2 tone,"$5,000",2023,BEV,2022-07-22
156,Hyundai,Kona Electric,Preferred - 2 tone Ultimate,"$5,000",2021,BEV,2020-07-03
157,Hyundai,Kona Electric,Ultimate,"$5,000",2023,BEV,2022-07-22
158,Hyundai,*Santa Fe PHEV,Preferred,$5000,2022,PHEV,2022-04-25
159,Hyundai,*Santa Fe PHEV,Luxury,$5000,2022,PHEV,2022-04-25
160,Hyundai,*Tucson PHEV,Preferred,$5000,2022,PHEV,2022-04-25
161,Hyundai,*Tucson PHEV,Luxury,$5000,2022,PHEV,2022-04-25
162,Hyundai,Kona Electric,Essential,"$5,000",2020,BEV,2019-10-15
163,Hyundai,Tucson PHEV,Ultimate,"$2,500",2022,PHEV,2021-07-20
164,Jeep,Wrangler 4xe,,"$2,500",2021,PHEV,2022-04-25
165,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2022,PHEV,2022-04-25
166,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2021,PHEV,2022-04-25
167,Jeep,Wrangler 4xe,Unlimited Sahara High Altitude,"$2,500",2021,PHEV,2022-04-25
168,Jeep,Wrangler 4xe,,"$2,500",2021,PHEV,2022-04-25
169,Jeep,Wrangler 4xe,Unlimited Rubicon,"$2,500",2022,PHEV,2022-04-25
170,Jeep,Wrangler 4xe,Unlimited Sahara,"$2,500",2021,PHEV,2022-04-25
171,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2017,BEV,2019-05-01
172,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2018,BEV,2019-05-01
173,Kia,Soul EV,EV Luxury,"$5,000",2018,BEV,2019-05-01
174,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2020,BEV,2019-05-01
175,Kia,Soul EV,EV Luxury,"$5,000",2017,BEV,2019-05-01
176,Kia,Soul EV,EV Premium,"$5,000",2020,BEV,2019-05-01
177,Kia,Soul EV,EV Luxury Sunroof,"$5,000",2019,BEV,2019-05-01
178,Kia,Soul EV,EV Premium,"$5,000",2019,BEV,2019-05-01
179,Kia,Optima PHEV,EX,"$2,500",2019,PHEV,2019-05-01
180,Kia,Soul EV,EV Premium,"$5,000",2017,BEV,2019-05-01
181,Kia,Soul EV,EV Limited,"$5,000",2020,BEV,2019-05-01
182,Kia,Soul EV,EV Limited,"$5,000",2019,BEV,2019-05-01
183,Kia,Soul EV,EV Limited,"$5,000",2018,BEV,2019-05-01
184,Kia,Soul EV,EV Limited,"$5,000",2017,BEV,2019-05-01
185,Kia,Optima PHEV,EX,"$2,500",2020,PHEV,2019-05-01
186,Kia,Optima PHEV,EX,"$2,500",2018,PHEV,2019-05-01
187,Kia,Optima PHEV,EX,"$2,500",2017,PHEV,2019-05-01
188,Kia,Soul EV,EV Luxury,"$5,000",2019,BEV,2019-05-01
189,Kia,Soul EV,EV Premium,"$5,000",2018,BEV,2019-05-01
190,Kia,Soul EV,EV Luxury,"$5,000",2020,BEV,2019-05-01
191,Kia,Optima PHEV,EX Premium,"$2,500",2020,PHEV,2019-05-01
192,Kia,Soul EV,EV,"$5,000",2018,BEV,2019-05-01
193,Kia,Niro PHEV,EX,"$2,500",2021,PHEV,2021-03-12
194,Kia,Niro PHEV,SX Touring,"$2,500",2021,PHEV,2021-03-12
195,Kia,Niro EV,EX+,"$5,000",2021,BEV,2021-03-12
196,Kia,Soul EV,Limited,"$5,000",2022,BEV,2021-07-26
197,Kia,Soul EV,Premium,"$5,000",2022,BEV,2021-07-26
198,Kia,Sorento PHEV,SX,"$2,500",2022,PHEV,2021-09-27
199,Kia,Niro PHEV,EX,"$2,500",2022,PHEV,2021-08-16
200,Kia,Niro PHEV,EX Premium,"$2,500",2022,PHEV,2021-08-16
201,Kia,Niro PHEV,SX Touring,"$2,500",2022,PHEV,2021-08-16
202,Kia,Sorento PHEV,EX,"$2,500",2022,PHEV,2021-09-27
203,Kia,Sorento PHEV,EX+,"$2,500",2022,PHEV,2021-09-27
204,Kia,Niro EV,EX,"$5,000",2021,BEV,2021-03-12
205,Kia,Niro PHEV,EX Premium,"$2,500",2021,PHEV,2021-03-12
206,Kia,Niro EV,SX Touring,"$5,000",2021,BEV,2021-03-12
207,Kia,Niro PHEV,EX Premium,"$2,500",2019,PHEV,2019-05-01
208,Kia,Niro EV,EX,"$5,000",2022,BEV,2021-08-17
209,Kia,*Sorento PHEV,EX,$5000,2022,PHEV,2022-04-25
210,Kia,Niro EV,SX Touring,"$5,000",2019,BEV,2019-05-01
211,Kia,Niro PHEV,SX Touring,"$2,500",2020,PHEV,2020-01-15
212,Kia,Niro PHEV,EX Premium,"$2,500",2020,PHEV,2020-01-15
213,Kia,Niro EV,EX,"$5,000",2020,BEV,2020-02-03
214,Kia,Niro EV,SX Touring,"$5,000",2020,BEV,2020-02-03
215,Kia,Soul EV,Limited,"$5,000",2021,BEV,2020-07-03
216,Kia,Niro PHEV,SX,"$2,500",2019,PHEV,2019-05-01
217,Kia,Soul EV,Premium ,"$5,000",2021,BEV,2020-07-03
218,Kia,Niro EV,EX+,"$5,000",2022,BEV,2021-08-17
219,Kia,EV6,AWD Long Range,"$5,000",2022,BEV,2022-02-01
220,Kia,EV6,RWD Long Range,"$5,000",2022,BEV,2022-02-01
221,Kia,EV6,RWD Standard Range,"$5,000",2022,BEV,2022-02-01
222,Kia,*Sorento PHEV,SX,$5000,2022,PHEV,2022-04-25
223,Kia,*Sorento PHEV,EX+,$5000,2022,PHEV,2022-04-25
224,Kia,Niro EV,SX Touring,"$5,000",2022,BEV,2021-08-17
225,Kia,Soul EV,EV,"$5,000",2017,BEV,2019-05-01
226,Kia,Niro EV,EX,"$5,000",2019,BEV,2019-05-01
